Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,14.5700,14.9200,14.3300,14.8200,686600,8.2955
2016-01-05,14.8700,14.8900,14.3000,14.5000,525500,8.1164
2016-01-06,14.3000,14.3700,13.8200,13.9500,740100,7.8085
2016-01-07,13.5900,13.7500,13.1900,13.2100,409900,7.3943
2016-01-08,13.3100,13.4000,13.1000,13.1900,652500,7.3831
2016-01-11,13.1500,13.5900,13.1500,13.5000,483300,7.5566
2016-01-12,13.6100,13.6300,12.6400,13.0100,579700,7.2824
2016-01-13,13.0100,13.3300,12.2000,12.4900,559500,6.9913
2016-01-14,12.5400,13.4400,12.4500,13.2600,1045700,7.4223
2016-01-15,12.8400,13.0500,11.9700,12.6400,784700,7.0753
2016-01-19,12.7400,12.7800,12.1000,12.1300,613000,6.7898
2016-01-20,11.9700,12.1100,10.9000,11.9700,989500,6.7002
2016-01-21,11.9200,12.7200,11.8500,12.3700,570400,6.9241
2016-01-22,12.6900,12.9000,12.4800,12.8500,598500,7.1928
2016-01-25,12.7000,12.7700,11.9800,12.1700,392600,6.8122
2016-01-26,12.2600,12.7000,12.0800,12.6000,458100,7.0529
2016-01-27,12.5100,13.0800,12.1800,13.0000,607200,7.2768
2016-01-28,13.1800,13.7000,13.0200,13.2600,545100,7.4223
2016-01-29,13.2800,13.8500,12.6100,13.2400,887500,7.4111
2016-02-01,13.0900,13.2800,12.7400,13.0400,606000,7.2992
2016-02-02,12.8700,13.5200,12.5000,13.3100,737100,7.4503
2016-02-03,13.3300,13.6000,12.9300,13.1700,435800,7.3719
2016-02-04,13.1500,13.7100,12.8500,12.9300,700800,7.2376
2016-02-05,12.8100,13.1000,12.3400,12.3500,598500,6.9129
2016-02-08,12.1900,12.6200,11.8000,12.1000,812200,6.7730
2016-02-09,11.9400,12.1400,11.4500,12.0900,521300,6.7674
2016-02-10,12.0300,12.0300,11.5600,11.6700,531800,6.5323
2016-02-11,11.4400,11.4600,10.6900,10.8900,460100,6.0957
2016-02-12,10.9500,11.2700,10.4900,11.1100,623400,6.2188
2016-02-16,11.3300,12.1000,11.3000,11.6100,768600,6.4987
2016-02-17,11.8800,13.0800,11.8300,12.7300,659100,7.1256
2016-02-18,12.8200,12.9100,12.3200,12.7000,359900,7.1088
2016-02-19,12.6000,12.8000,12.2900,12.6900,428400,7.1032
2016-02-22,12.8800,13.1700,12.4200,12.7000,546200,7.1088
2016-02-23,12.6300,12.7800,12.0100,12.0400,546300,6.7394
