Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,66.9700,67.5100,66.3300,67.4700,3896700,42.4848
2016-01-05,67.2900,68.1200,66.2500,68.0500,2476000,42.8501
2016-01-06,67.5700,68.8700,67.3300,68.4700,2670700,43.1145
2016-01-07,67.6700,68.7100,67.6000,68.5100,4011800,43.1397
2016-01-08,68.4800,69.9000,68.3800,69.5200,5391500,43.7757
2016-01-11,69.5900,69.9300,69.3100,69.4100,3989700,43.7065
2016-01-12,69.6400,69.8800,68.5100,68.9000,4318300,43.3853
2016-01-13,69.0400,69.4900,68.8600,69.0200,3646500,43.4609
2016-01-14,68.9700,69.9700,68.8500,69.6700,3265900,43.8702
2016-01-15,69.0000,69.4400,68.1800,68.8800,3964200,43.3727
2016-01-19,69.2300,70.0600,68.6900,69.9000,3037000,44.0150
2016-01-20,69.4500,69.7500,67.9400,68.7300,3773800,43.2783
2016-01-21,69.0500,69.0500,67.9700,68.4900,2268700,43.1271
2016-01-22,69.1400,69.8300,68.5200,69.7600,2118000,43.9268
2016-01-25,69.7900,70.1400,69.2700,69.5600,2287300,43.8009
2016-01-26,69.5800,70.5600,69.4400,69.7200,2075500,43.9016
2016-01-27,69.6100,70.1200,69.1700,69.7100,2320200,43.8953
2016-01-28,69.7000,71.5100,69.4300,70.9400,3579600,44.6698
2016-01-29,71.4800,72.2000,71.0300,72.1700,3498500,45.4444
2016-02-01,70.2700,71.4200,69.9400,70.1800,10798600,44.1913
2016-02-02,69.2400,70.1100,68.6200,69.8900,6008700,44.0087
2016-02-03,70.0500,70.4200,69.2800,69.9300,5527100,44.0339
2016-02-04,70.0700,71.1600,69.6200,70.4300,4016100,44.3487
2016-02-05,70.3400,71.4300,69.6900,71.0600,3758900,44.7454
2016-02-08,70.1300,70.8900,69.0800,69.4900,5684700,43.7568
2016-02-09,69.4900,70.8700,69.1600,70.4300,4020500,44.3487
2016-02-10,70.1800,70.7400,69.0500,70.2900,3266600,44.2606
2016-02-11,69.9500,70.4900,69.1100,69.2100,2868700,43.5805
2016-02-12,69.3400,69.6400,68.4500,68.9400,2942500,43.4105
2016-02-16,69.4900,69.5600,68.5600,69.1500,2385500,43.5427
2016-02-17,69.4600,69.8300,68.8000,69.7700,2584000,43.9331
2016-02-18,69.3100,70.2100,69.1900,69.7500,6190800,43.9205
2016-02-19,69.5500,69.7700,69.0000,69.4600,4156600,43.7379
2016-02-22,69.7800,70.7800,69.6200,70.7400,2529900,44.5439
2016-02-23,70.3900,71.1900,70.2700,70.8800,2559200,44.6321
2016-02-24,70.9200,71.3000,70.3300,71.2200,3482700,44.8462
2016-02-25,71.3400,71.8700,71.1600,71.8300,2114900,45.2303
2016-02-26,71.6000,71.7500,69.9100,70.0200,2800500,44.0905
2016-02-29,70.0100,70.7300,69.8500,69.9200,3622000,44.0276
2016-03-01,70.3300,70.4200,69.5600,69.9500,2510000,44.0465
2016-03-02,69.0600,69.2500,67.5800,68.7700,4450600,43.7412
2016-03-03,68.8900,70.0200,68.2900,69.9900,3726400,44.5171
2016-03-04,69.5400,70.7800,69.3200,70.6200,2772700,44.9179
2016-03-07,70.2500,71.3800,70.1300,71.2200,2382500,45.2995
2016-03-08,71.0900,71.7800,70.7100,71.7200,3067600,45.6175
2016-03-09,71.7000,72.3300,71.6000,72.1000,2312400,45.8592
2016-03-10,72.1200,72.2400,71.0700,71.5900,2179900,45.5348
2016-03-11,71.8000,72.3400,71.6100,72.2200,1880100,45.9355
2016-03-14,72.3400,72.4700,71.9100,72.3400,1862600,46.0119
2016-03-15,72.1600,73.0700,72.1200,72.9900,2094800,46.4253
2016-03-16,72.7500,73.8000,72.0900,73.5600,2903000,46.7878
2016-03-17,73.7600,74.9000,73.3600,74.5500,3286500,47.4175
2016-03-18,74.6100,74.8900,73.4500,73.4600,4697600,46.7242
2016-03-21,73.6500,73.8100,72.6000,73.6300,2450600,46.8324
2016-03-22,73.7100,73.7400,72.9200,72.9600,3009400,46.4062
2016-03-23,73.1800,73.7500,72.6300,73.5100,1828700,46.7561
2016-03-24,73.5100,73.5900,73.0300,73.4200,1594600,46.6988
2016-03-28,73.6400,74.0400,73.0000,73.1500,1977000,46.5271
2016-03-29,73.4700,74.7000,73.0900,74.6400,2752800,47.4748
2016-03-30,74.7900,74.9000,74.1000,74.7500,1958600,47.5447
2016-03-31,74.5400,75.1800,74.3100,75.1200,2717800,47.7801
2016-04-01,74.7800,75.5000,74.3600,75.3900,2347700,47.9518
2016-04-04,75.2200,75.2200,74.2900,74.5800,2013700,47.4366
2016-04-05,73.6000,73.7400,72.1400,73.0500,7976200,46.4634
2016-04-06,72.8900,73.2300,72.3400,72.7500,4226800,46.2726
2016-04-07,72.6200,73.2300,72.5400,72.9700,2336400,46.4126
2016-04-08,73.2400,73.5000,72.8300,73.0400,2416600,46.4571
2016-04-11,73.1000,73.5900,72.8300,72.8700,2627600,46.3490
2016-04-12,72.9100,73.3300,72.7800,73.2200,2776300,46.5716
2016-04-13,73.4400,73.4400,72.4100,72.8000,1790700,46.3045
2016-04-14,72.8000,73.1000,72.4100,72.7000,1620000,46.2408
2016-04-15,72.8700,73.2600,72.5800,73.0500,2405200,46.4634
2016-04-18,73.0500,73.1600,72.1600,72.8700,2656800,46.3490
2016-04-19,72.7800,73.1500,72.4800,72.8200,2431100,46.3172
2016-04-20,72.9800,73.0900,71.0200,71.0800,2552000,45.2104
2016-04-21,71.0800,71.0800,69.2800,69.5100,3555300,44.2118
