Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,31.5200,31.6300,31.2200,31.5000,4524900,20.1255
2016-01-05,31.6300,31.6400,30.9400,31.5400,5204200,20.1511
2016-01-06,31.3200,32.0100,31.1800,31.8500,3822700,20.3492
2016-01-07,31.5200,31.7700,30.8900,31.0000,4218400,19.8061
2016-01-08,31.0200,31.7700,30.9800,31.5900,5032000,20.1830
2016-01-11,31.7000,32.2500,31.6100,32.0700,5003400,20.4897
2016-01-12,32.2000,32.2900,31.5900,32.1800,5130600,20.5600
2016-01-13,32.2100,32.4000,31.4100,31.5000,3781000,20.1255
2016-01-14,31.6000,32.8000,31.3400,32.5600,4568100,20.8028
2016-01-15,32.1700,32.4700,31.3900,31.8300,5544400,20.3364
2016-01-19,31.9200,32.5800,31.7100,32.4900,4446500,20.7581
2016-01-20,32.2600,32.3400,30.6700,31.1200,5776800,19.8828
2016-01-21,31.1500,31.6400,30.6200,31.3000,5237200,19.9978
2016-01-22,31.5800,32.3800,31.3500,32.2800,3477500,20.6239
2016-01-25,32.2800,32.3200,31.7800,31.8200,3435700,20.3300
2016-01-26,31.8600,32.5200,31.7700,32.0800,2931400,20.4961
2016-01-27,31.9600,32.3400,31.6000,31.9200,2282400,20.3939
2016-01-28,31.9500,32.4000,31.7900,32.1400,4022000,20.5344
2016-01-29,32.4200,33.1100,32.3500,33.0600,4361600,21.1222
2016-02-01,32.9900,33.2800,32.9000,33.0500,4077500,21.1158
2016-02-02,32.7000,33.1200,32.6100,32.9700,4781800,21.0647
2016-02-03,32.8200,33.7200,32.6200,33.5200,5704900,21.6526
2016-02-04,33.5400,33.6100,33.2000,33.2500,3988200,21.4782
2016-02-05,33.0800,34.2100,32.9100,33.7000,5779700,21.7688
2016-02-08,33.5100,33.9000,32.6800,33.2000,5823700,21.4459
2016-02-09,33.0400,33.5000,32.7300,33.3200,3205700,21.5234
2016-02-10,33.1800,33.8000,32.8600,33.6300,2842400,21.7236
2016-02-11,33.3100,33.5700,32.5600,32.8100,2849200,21.1939
2016-02-12,32.8500,33.1100,32.5300,32.8800,3537200,21.2391
2016-02-16,33.0900,33.4700,32.7900,33.4600,3599900,21.6138
2016-02-17,33.2000,33.3500,32.1700,32.2700,5985400,20.8451
2016-02-18,32.5100,34.1300,32.3700,33.9300,6542400,21.9174
2016-02-19,33.8200,33.8200,32.8000,32.9700,5481600,21.2973
2016-02-22,33.1500,33.4200,32.9300,33.3300,3127700,21.5298
2016-02-23,33.3200,33.5900,32.9300,33.0400,3624000,21.3425
2016-02-24,33.0000,33.1700,32.4000,32.7000,5005900,21.1229
2016-02-25,32.9300,33.9900,32.7800,33.9500,4621300,21.9303
2016-02-26,33.9400,34.0600,32.6500,32.8200,4848200,21.2004
2016-02-29,32.8200,33.7200,32.6500,33.4700,4294600,21.6203
2016-03-01,33.5800,33.7900,33.2700,33.4500,3581400,21.6073
2016-03-02,33.3000,33.7400,32.5700,33.7100,2619300,21.7753
2016-03-03,33.6600,34.1300,33.3400,33.9800,2634200,21.9497
2016-03-04,33.7300,34.7400,33.5300,34.5600,2739400,22.3244
2016-03-07,34.4300,35.1400,34.3400,35.1100,2645900,22.6796
2016-03-08,35.1200,35.7700,34.7100,35.5600,3952800,22.9703
2016-03-09,35.5200,36.4500,35.4900,35.8000,4088700,23.1253
2016-03-10,35.6800,36.2300,35.6000,35.9700,3787000,23.2352
2016-03-11,36.0800,36.3600,35.6900,35.7000,3409600,23.0607
2016-03-14,35.7100,35.7600,35.4300,35.5900,2420900,22.9897
2016-03-15,35.5200,35.7000,35.2500,35.5900,2849500,22.9897
2016-03-16,35.4200,36.1600,35.2200,35.9000,3759100,23.1899
2016-03-17,36.0400,36.3500,35.8400,36.1700,2665800,23.3644
2016-03-18,36.1600,36.2000,35.7500,35.7600,4883900,23.0995
2016-03-21,35.7300,36.0700,35.4100,35.8500,3416800,23.1576
2016-03-22,35.8800,36.1800,35.6100,35.7600,3058000,23.0995
2016-03-23,35.7300,36.0800,35.5200,35.9800,2830700,23.2416
2016-03-24,35.8500,36.2500,35.7800,36.1600,2968400,23.3579
2016-03-28,36.1600,36.3500,35.6700,35.7400,2097100,23.0866
2016-03-29,35.8300,36.3800,35.6400,36.3400,4563900,23.4742
2016-03-30,36.4100,36.5400,35.7700,35.7900,5504800,23.1189
2016-03-31,35.9400,36.5200,35.5100,35.9700,7360500,23.2352
2016-04-01,35.9800,36.2900,35.6600,36.0300,6258400,23.2739
2016-04-04,35.9900,36.1300,35.5800,35.6800,4869600,23.0478
2016-04-05,35.5700,35.6900,34.8500,35.0700,5229400,22.6538
2016-04-06,35.0300,35.0900,34.5500,34.5900,5030400,22.3437
2016-04-07,34.5600,35.0400,34.5200,34.7600,4113900,22.4535
2016-04-08,34.8900,35.6900,34.8800,35.1200,4890800,22.6861
2016-04-11,35.3300,35.8100,35.2900,35.3600,3686200,22.8411
2016-04-12,35.5200,36.0000,35.4000,35.7500,3634200,23.0930
2016-04-13,35.7800,35.8000,35.4900,35.6500,2968300,23.0285
