Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,25.7175,25.9125,25.5850,25.8925,7716400,19.6176
2016-01-05,25.9225,26.2350,25.5500,26.1450,8915200,19.8089
2016-01-06,25.9725,26.1675,25.8750,26.0600,6983200,19.7445
2016-01-07,25.7975,26.2650,25.7575,26.1750,12870800,19.8316
2016-01-08,26.2175,26.4750,26.1875,26.2925,14382000,19.9207
2016-01-11,26.3300,26.6500,26.2775,26.3950,16397200,19.9983
2016-01-12,26.4425,26.5200,26.0850,26.3450,8618800,19.9604
2016-01-13,26.4200,26.4725,25.9350,26.1550,10292800,19.8165
2016-01-14,26.2025,26.6925,26.0950,26.4225,9981600,20.0192
2016-01-15,26.3600,26.4725,26.0200,26.3150,15260000,19.9377
2016-01-19,26.3650,27.0600,26.2825,26.9525,15298400,20.4207
2016-01-20,26.7150,26.8850,25.8375,26.3275,13866000,19.9472
2016-01-21,26.3575,26.4450,25.9650,26.2600,8786400,19.8960
2016-01-22,26.4500,26.6700,26.2525,26.6500,9400400,20.1915
2016-01-25,26.6800,26.7575,26.3675,26.6050,8533200,20.1574
2016-01-26,26.6500,26.9325,26.4650,26.6400,12272000,20.1839
2016-01-27,26.7200,26.9500,26.5525,26.6825,10999600,20.2161
2016-01-28,26.4400,27.1925,26.3825,27.0750,14686000,20.5135
2016-01-29,27.3475,27.9650,27.2000,27.9275,24626400,21.1594
2016-02-01,27.9100,28.3600,27.6975,28.2450,15117200,21.4000
2016-02-02,28.0125,28.5175,28.0000,28.4775,11020400,21.5761
2016-02-03,28.5325,28.8775,28.4200,28.6875,13532000,21.7352
2016-02-04,28.4800,28.7400,28.1375,28.3800,11712800,21.5023
2016-02-05,28.3250,28.5350,28.0550,28.4025,11007200,21.5193
2016-02-08,28.4100,28.6525,28.2000,28.5425,10296800,21.6254
2016-02-09,28.5025,28.9875,28.4125,28.8375,13775600,21.8489
2016-02-10,28.1550,28.5300,27.8525,28.4350,13794400,21.5439
2016-02-11,28.2575,28.4900,27.9700,27.9750,13052800,21.1954
2016-02-12,28.0300,28.0825,27.6500,27.9175,11447200,21.1518
2016-02-16,28.1125,28.2400,27.8025,28.0875,9395200,21.2807
2016-02-17,28.0650,28.0675,27.8175,27.8575,10793200,21.1064
2016-02-18,27.9600,28.6950,27.9225,28.5825,13084800,21.6557
2016-02-19,28.6250,28.8625,28.4000,28.6875,13488000,21.7352
2016-02-22,28.7750,29.1325,28.6875,28.9250,10462000,21.9152
2016-02-23,28.8325,29.1350,28.7125,29.0300,9229200,21.9947
2016-02-24,28.6650,29.0275,28.6150,29.0000,13355200,22.1379
2016-02-25,29.0925,29.2450,28.7800,28.9600,8776400,22.1073
2016-02-26,28.8250,28.9525,28.0475,28.1300,9756800,21.4737
2016-02-29,28.0925,28.4850,28.0125,28.2050,10503600,21.5310
