Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,,1126.4862,1113.1709,1125.9670,,1125.9670
2016-01-05,,1136.8110,1109.3554,1134.4212,,1134.4212
2016-01-06,,1137.0809,1122.9550,1132.8986,,1132.8986
2016-01-07,,1133.0076,1122.3818,1127.6629,,1127.6629
2016-01-08,,1136.7491,1126.1059,1128.0257,,1128.0257
2016-01-11,,1138.1479,1128.6807,1132.9245,,1132.9245
2016-01-12,,1135.5478,1118.3822,1127.4315,,1127.4315
2016-01-13,,1136.1487,1122.0934,1125.6440,,1125.6440
2016-01-14,,1149.2898,1121.2332,1143.0919,,1143.0919
2016-01-15,,1140.4796,1117.2559,1130.5572,,1130.5572
2016-01-19,,1150.8706,1133.0301,1147.8272,,1147.8272
2016-01-20,,1145.0799,1104.6151,1122.1511,,1122.1511
2016-01-21,,1129.0570,1111.2319,1121.6490,,1121.6490
2016-01-22,,1142.4786,1123.4792,1141.7754,,1141.7754
2016-01-25,,1141.6400,1126.8400,1130.1865,,1130.1865
2016-01-26,,1150.4740,1132.3417,1139.8880,,1139.8880
2016-01-27,,1151.6229,1133.9343,1143.1980,,1143.1980
2016-01-28,,1168.9334,1137.4322,1162.0480,,1162.0480
2016-01-29,,1187.6562,1170.6602,1186.3481,,1186.3481
2016-02-01,,1200.7489,1181.3576,1195.8681,,1195.8681
2016-02-02,,1202.7605,1185.0116,1201.5347,,1201.5347
2016-02-03,,1221.1179,1203.6403,1215.7441,,1215.7441
2016-02-04,,1220.5568,1207.4602,1210.0025,,1210.0025
2016-02-05,,1219.2914,1192.1953,1213.7774,,1213.7774
2016-02-08,,1222.5683,1196.1905,1206.5603,,1206.5603
2016-02-09,,1215.6565,1199.2633,1211.6800,,1211.6800
2016-02-10,,1214.6354,1187.4354,1208.5952,,1208.5952
2016-02-11,,1207.3774,1184.0798,1185.0194,,1185.0194
2016-02-12,,1189.0869,1169.5315,1179.9913,,1179.9913
2016-02-16,,1190.4459,1176.2155,1188.2945,,1188.2945
2016-02-17,,1189.9011,1178.1406,1186.2521,,1186.2521
2016-02-18,,1209.8212,1184.6288,1206.0703,,1206.0703
2016-02-19,,1203.8358,1191.7236,1199.4270,,1199.4270
2016-02-22,,1214.0411,1199.4933,1213.9668,,1213.9668
2016-02-23,,1217.9686,1205.1540,1215.0883,,1215.0883
2016-02-24,,1221.8953,1208.5336,1220.5407,,1220.5407
2016-02-25,,1232.2895,1220.7960,1231.6452,,1231.6452
2016-02-26,,1227.9892,1197.7411,1198.1172,,1198.1172
2016-02-29,,1212.0378,1194.4308,1200.4811,,1200.4811
2016-03-01,,1210.2522,1189.8813,1197.3609,,1197.3609
2016-03-02,,1203.2643,1168.4458,1202.7290,,1202.7290
2016-03-03,,1210.4558,1188.5700,1210.4030,,1210.4030
2016-03-04,,1228.3307,1200.5165,1225.0761,,1225.0761
2016-03-07,,1235.8216,1220.1034,1233.0437,,1233.0437
2016-03-08,,1243.4870,1226.7786,1241.7011,,1241.7011
2016-03-09,,1252.7370,1241.9591,1248.8130,,1248.8130
2016-03-10,,1254.5492,1238.3815,1252.5093,,1252.5093
2016-03-11,,1261.4968,1251.1585,1254.4284,,1254.4284
2016-03-14,,1257.4343,1248.4460,1255.4295,,1255.4295
2016-03-15,,1261.5201,1252.5648,1257.6949,,1257.6949
2016-03-16,,1273.5226,1244.8324,1271.0775,,1271.0775
2016-03-17,,1286.8972,1267.8124,1283.7330,,1283.7330
2016-03-18,,1286.2437,1275.4532,1276.2863,,1276.2863
2016-03-21,,1280.6939,1262.3368,1274.0413,,1274.0413
2016-03-22,,1279.8981,1268.1816,1270.2970,,1270.2970
2016-03-23,,1281.2457,1264.6705,1276.0854,,1276.0854
2016-03-24,,1282.0086,1272.1805,1280.5233,,1280.5233
