Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,46.4200,47.0700,46.2500,47.0300,6946500,30.1651
2016-01-05,46.9500,47.3800,46.5900,47.3600,5830900,30.3768
2016-01-06,47.0600,47.5000,46.8200,47.3700,5868700,30.3832
2016-01-07,47.0000,47.4500,46.7900,46.9700,5837700,30.1266
2016-01-08,46.9900,47.2900,46.5600,46.6200,5220200,29.9022
2016-01-11,46.8000,47.0100,46.6300,46.8400,5870500,30.0433
2016-01-12,46.9200,46.9200,46.0000,46.4500,5762300,29.7931
2016-01-13,46.5500,47.0300,46.4400,46.8000,5860100,30.0176
2016-01-14,46.8000,47.5500,46.4400,47.1400,6057100,30.2357
2016-01-15,46.6900,47.2400,46.5400,47.1700,6536900,30.2549
2016-01-19,47.2500,48.0400,47.1800,47.9400,7627600,30.7488
2016-01-20,47.7000,47.9900,46.6600,47.1600,8026100,30.2485
2016-01-21,47.2800,47.5500,46.3400,46.8100,5876800,30.0240
2016-01-22,46.7900,47.3800,46.5600,47.3500,6019000,30.3704
2016-01-25,47.4200,47.5200,47.0900,47.3900,4287100,30.3960
2016-01-26,47.5200,48.0800,47.3900,47.5800,3946700,30.5179
2016-01-27,47.4200,47.8900,47.2400,47.6400,3350500,30.5564
2016-01-28,47.6400,48.5600,47.2500,48.2800,3980400,30.9669
2016-01-29,48.5800,49.0000,48.4800,48.9200,7181700,31.3774
2016-02-01,48.9400,49.9900,48.7900,49.9000,9996700,32.0059
2016-02-02,49.5500,49.7900,49.4200,49.6300,6308200,31.8328
2016-02-03,49.4100,50.2400,48.3100,48.5100,15188000,31.1144
2016-02-04,48.5000,48.6900,47.4500,48.4200,9049000,31.0567
2016-02-05,48.0200,48.5000,47.2600,48.2200,8747200,30.9284
2016-02-08,48.1800,48.8500,48.0400,48.8200,7027400,31.3132
2016-02-09,48.5800,49.3200,48.2800,49.2000,7085700,31.5570
2016-02-10,48.9000,49.3500,48.2700,49.2100,6086900,31.5634
2016-02-11,48.1900,48.7600,48.0200,48.0500,5963800,31.1632
2016-02-12,48.0000,48.2800,47.5600,47.9100,5077400,31.0724
2016-02-16,48.0100,48.0900,47.4700,48.0900,5147700,31.1892
2016-02-17,48.0800,48.1600,47.5200,47.8300,5218300,31.0205
2016-02-18,47.8000,48.9100,47.7100,48.8700,5743900,31.6950
2016-02-19,48.6300,48.9300,48.2300,48.5700,4602000,31.5005
2016-02-22,48.6100,49.1000,48.4600,49.1000,3403800,31.8442
2016-02-23,48.9700,49.2700,48.7500,49.1000,3495200,31.8442
2016-02-24,48.8300,49.3900,48.5900,48.9800,3567300,31.7664
2016-02-25,48.9300,49.4300,48.8700,49.3600,3652800,32.0128
2016-02-26,49.3400,49.3600,48.1000,48.1900,5511300,31.2540
2016-02-29,48.2800,48.6700,48.1100,48.1800,6043300,31.2475
2016-03-01,48.3200,48.6000,47.2700,47.4900,6889000,30.8000
2016-03-02,47.5500,48.0700,46.5600,47.9800,5464500,31.1178
2016-03-03,48.1400,48.1900,47.4700,48.1900,5192500,31.2540
2016-03-04,47.8800,48.7700,47.7400,48.6300,5305400,31.5394
2016-03-07,48.5500,48.7200,48.0700,48.4900,5271100,31.4486
2016-03-08,48.6700,49.2900,48.4300,49.1500,5362900,31.8766
2016-03-09,49.1400,49.6900,49.0200,49.5600,4501100,32.1425
2016-03-10,49.6600,49.9300,49.2900,49.8700,6727700,32.3436
2016-03-11,49.9500,50.1400,49.6800,49.7900,4940500,32.2917
2016-03-14,49.8900,50.0600,49.5400,49.9500,3787800,32.3955
2016-03-15,49.6800,50.4200,49.6000,50.3300,4564500,32.6419
2016-03-16,50.2000,50.8300,49.7400,50.6800,4506500,32.8689
2016-03-17,50.6000,51.0000,50.3600,50.8200,5230400,32.9597
2016-03-18,50.9600,51.0100,50.5500,50.7600,8057900,32.9208
2016-03-21,50.5000,50.8300,50.1200,50.4800,3499800,32.7392
2016-03-22,50.4600,50.7700,50.2100,50.2700,2882500,32.6030
2016-03-23,50.3100,50.8700,50.0700,50.6700,3151600,32.8624
2016-03-24,50.6700,50.9800,50.5800,50.9000,3587200,33.0116
2016-03-28,50.8300,51.1700,50.5300,50.5800,3063200,32.8041
2016-03-29,50.7500,51.2200,50.5700,51.2000,3943800,33.2062
2016-03-30,51.2100,51.2500,50.8300,51.2100,2851400,33.2127
2016-03-31,51.2200,51.7300,51.1200,51.7300,4999000,33.5499
2016-04-01,51.5000,51.7900,51.1600,51.7000,3728500,33.5305
2016-04-04,51.7100,51.7800,51.1400,51.5300,4262100,33.4202
2016-04-05,51.2900,51.5800,50.6200,50.6500,4815000,32.8495
2016-04-06,50.6100,50.6600,50.0100,50.3600,6000200,32.6614
2016-04-07,50.2900,50.8600,50.2100,50.6700,3670900,32.8624
2016-04-08,50.7900,51.1200,50.6500,50.7300,3778500,32.9014
2016-04-11,50.5800,50.9900,50.4500,50.4700,2965700,32.7327
2016-04-12,50.5400,50.8300,50.2900,50.7700,3475500,32.9273
2016-04-13,50.8600,50.9100,50.0700,50.3600,3029400,32.6614
2016-04-14,50.3600,50.5600,50.1600,50.4500,2993300,32.7198
2016-04-15,50.4400,50.8000,50.3600,50.6800,2689500,32.8689
2016-04-18,50.6800,50.9100,50.3600,50.9100,3017200,33.0181
2016-04-19,50.9800,51.0600,50.5800,51.0000,3499500,33.0765
2016-04-20,50.9600,51.1100,49.7400,49.7700,4965300,32.2787
2016-04-21,49.7500,49.7700,48.7200,48.9400,6023300,31.7404
2016-04-22,49.1800,49.4500,49.0800,49.2600,3285100,31.9480
2016-04-25,49.1900,49.3700,48.9000,49.2700,4136800,31.9545
2016-04-26,49.1100,49.4300,49.0400,49.2000,4334700,31.9091
2016-04-27,49.5800,49.9500,48.7600,49.5400,5822100,32.1296
2016-04-28,49.2800,49.9600,49.1300,49.9500,4577100,32.3955
2016-04-29,49.7800,50.1200,49.2700,50.1000,5558600,32.4928
2016-05-02,50.2500,50.6900,50.0900,50.4100,5694600,32.6938
2016-05-03,50.3500,50.6500,50.2700,50.5000,3856300,32.7522
2016-05-04,50.3200,51.5400,50.3200,51.3600,6279400,33.3100
2016-05-05,51.1500,51.5600,50.3400,50.6200,7703300,32.8300
2016-05-06,49.1500,49.5600,48.8300,49.4900,23170100,32.0971
2016-05-09,49.6500,50.1800,49.5600,49.8100,7855400,32.3047
2016-05-10,50.0100,50.3300,49.6500,50.1400,6568700,32.5187
2016-05-11,50.2900,50.3500,49.8700,50.3200,5655800,32.6354
2016-05-12,49.7600,50.3300,49.3400,50.1600,5412500,32.8978
2016-05-13,50.1000,50.2100,49.6800,49.8900,4032000,32.7207
2016-05-16,49.7500,49.9600,49.5100,49.9400,4016700,32.7535
2016-05-17,49.7000,49.8800,48.7300,49.0800,5245400,32.1895
2016-05-18,48.8500,49.0800,47.9400,48.0400,4851600,31.5074
2016-05-19,47.9900,48.6900,47.6200,48.6700,4039400,31.9206
2016-05-20,48.8200,48.8600,48.3800,48.6500,4093500,31.9074
2016-05-23,48.7600,48.8300,48.0700,48.0900,3789000,31.5402
2016-05-24,48.3100,48.5400,48.0500,48.4600,4166400,31.7828
2016-05-25,48.4200,48.7700,48.1900,48.5500,3825300,31.8419
2016-05-26,48.4700,49.2500,48.4700,49.2200,3309600,32.2813
2016-05-27,49.2300,49.3500,48.9500,49.1600,3146600,32.2419
2016-05-31,48.9500,49.4400,48.8400,49.4400,7286700,32.4256
2016-06-01,49.4300,49.6500,49.3000,49.5700,5770500,32.5108
2016-06-02,49.5100,49.6200,49.0100,49.3600,3547500,32.3731
2016-06-03,49.7100,50.4300,49.7100,50.1800,4953400,32.9109
2016-06-06,50.4100,50.4100,49.8500,50.1300,4687400,32.8781
2016-06-07,50.1500,50.4500,50.0100,50.0900,3767900,32.8519
2016-06-08,50.0100,50.3700,50.0100,50.3700,2650300,33.0355
2016-06-09,50.4100,50.9300,50.3900,50.8600,3642000,33.3569
2016-06-10,50.7000,51.2300,50.7000,51.1100,5303600,33.5209
2016-06-13,51.0000,51.3400,50.9100,50.9900,5246700,33.4422
2016-06-14,51.0100,51.3300,50.7400,51.3300,5316200,33.6651
2016-06-15,51.3300,51.4000,50.7100,50.8800,4478000,33.3700
2016-06-16,50.9200,51.2200,50.7400,51.0600,4323300,33.4881
2016-06-17,51.1800,51.2100,50.6600,51.1500,9984900,33.5471
2016-06-20,51.0000,51.1500,50.4200,50.9400,5473700,33.4094
2016-06-21,50.9900,51.2200,50.6800,50.9000,3472000,33.3831
2016-06-22,50.9800,51.0700,50.7300,50.8500,3022900,33.3503
2016-06-23,50.8900,51.0700,50.6400,51.0600,4063400,33.4881
2016-06-24,50.7500,51.6900,50.6300,51.1900,10508200,33.5733
2016-06-27,51.2400,52.3500,51.1600,52.2000,9457200,34.2357
2016-06-28,52.0600,52.4600,51.6100,52.3100,8531400,34.3079
2016-06-29,52.4000,52.5000,52.0400,52.2200,5943500,34.2489
2016-06-30,52.3200,53.6400,52.2200,53.6300,9498400,35.1736
2016-07-01,53.7500,53.9500,53.0300,53.8300,6238600,35.3048
2016-07-05,53.8000,54.4200,53.8000,54.2500,6321700,35.5803
2016-07-06,54.3500,54.4900,53.9300,54.4400,5605600,35.7049
2016-07-07,54.3200,54.3200,53.5000,53.6600,5507900,35.1933
2016-07-08,53.4200,54.1700,52.9500,54.1400,5985800,35.5081
2016-07-11,53.8900,54.0800,53.4700,53.7900,6353700,35.2786
2016-07-12,53.5000,53.6400,52.7800,52.8400,6030600,34.6555
2016-07-13,53.1000,53.1900,52.8300,53.1300,4883300,34.8457
2016-07-14,53.3200,53.7000,53.0500,53.6100,8252100,35.1605
2016-07-15,53.6900,53.8700,53.1900,53.6300,4609200,35.1736
2016-07-18,53.6500,53.9100,53.5600,53.6200,3561100,35.1671
2016-07-19,53.6300,53.8000,53.4500,53.6200,3091800,35.1671
2016-07-20,53.6500,53.7900,53.2000,53.3300,3869400,34.9769
2016-07-21,53.2200,53.9700,53.0800,53.9000,5540900,35.3507
2016-07-22,53.8500,54.6400,53.7800,54.5400,5064700,35.7705
2016-07-25,54.5000,54.6000,54.2100,54.5400,3925300,35.7705
2016-07-26,54.5300,54.5700,54.2100,54.4500,6097900,35.7114
2016-07-27,54.1400,54.4800,53.2200,53.5400,8647300,35.1146
2016-07-28,53.5300,53.5300,53.0300,53.2600,6076800,34.9309
2016-07-29,53.2600,53.7000,53.2200,53.5000,5759700,35.0884
2016-08-01,53.4400,53.8000,53.3700,53.6500,4159600,35.1867
2016-08-02,53.4900,53.5800,53.1500,53.3600,3715900,34.9965
2016-08-03,53.4100,53.4800,52.7500,53.0400,5053600,34.7867
2016-08-04,53.1000,53.4000,53.0100,53.1600,3228900,34.8654
2016-08-05,53.0000,53.1100,52.4900,52.6400,5165100,34.5243
2016-08-08,52.7100,53.0400,52.4400,52.6900,3422100,34.5571
2016-08-09,52.7400,53.0100,52.5600,52.8400,4201500,34.6555
2016-08-10,52.9100,53.1300,52.7900,52.8800,5836900,34.6817
2016-08-11,52.3300,52.3800,52.0000,52.3200,4479800,34.6817
2016-08-12,52.4800,52.7000,52.3300,52.3500,3190800,34.7016
2016-08-15,52.3400,52.4800,51.4600,51.4900,4124500,34.1315
2016-08-16,51.4100,51.4300,50.8200,50.9600,5030200,33.7802
2016-08-17,50.0900,51.5700,50.0000,51.4700,21768000,34.1183
2016-08-18,51.4100,52.3300,51.3300,52.3100,7694200,34.6751
2016-08-19,52.1000,52.1100,51.6800,51.9600,6552800,34.4431
2016-08-22,52.0900,52.2400,51.9300,52.0000,4830900,34.4696
2016-08-23,52.0400,52.2800,51.7000,51.7100,3655700,34.2774
2016-08-24,51.5600,51.8900,51.3200,51.7900,4076800,34.3304
2016-08-25,51.8800,52.0400,51.7300,51.8600,4108300,34.3768
2016-08-26,51.9000,52.2600,50.8800,51.0500,6110800,33.8399
2016-08-29,51.5100,51.5100,51.1400,51.3400,4705000,34.0321
2016-08-30,51.2300,51.5600,50.9100,50.9600,5579900,33.7802
2016-08-31,50.9600,51.3600,50.8400,51.3300,6173400,34.0255
2016-09-01,51.2400,51.3700,51.0100,51.1800,3613600,33.9260
2016-09-02,51.2000,51.8500,51.1500,51.8000,3869300,34.3370
2016-09-06,51.9100,52.4500,51.8300,52.1300,5491400,34.5558
2016-09-07,52.1600,52.3400,51.9400,52.2200,3564500,34.6154
2016-09-08,52.2600,52.5100,52.0800,52.4700,4375900,34.7812
2016-09-09,52.0800,52.1700,50.8000,50.8700,6415800,33.7206
2016-09-12,50.7800,52.1000,50.7700,51.9600,10137000,34.4431
2016-09-13,51.7800,51.8700,50.9000,51.2600,7083900,33.9791
2016-09-14,51.4000,51.7100,51.1100,51.3500,5147900,34.0387
2016-09-15,51.2700,51.6200,51.1600,51.4600,4984800,34.1116
2016-09-16,51.6200,52.1400,51.2800,51.9700,16959300,34.4497
2016-09-19,52.1000,52.4600,52.0000,52.4300,4464900,34.7546
2016-09-20,52.5200,52.6600,52.1300,52.1400,3429100,34.5624
2016-09-21,52.0900,53.2100,51.8500,53.1800,4880000,35.2518
2016-09-22,53.3600,53.5600,53.0900,53.4800,4134100,35.4507
2016-09-23,53.3300,53.6300,53.2500,53.5300,4282700,35.4838
2016-09-26,53.5500,53.6300,53.2800,53.3100,4689600,35.3380
2016-09-27,53.5200,53.7300,52.7600,52.8400,5774100,35.0264
2016-09-28,52.9500,53.0200,52.5100,52.7000,5819700,34.9336
2016-09-29,52.5100,52.5900,51.8200,52.0500,5877900,34.5028
2016-09-30,52.0800,52.3800,51.1100,51.3000,7048700,34.0056
2016-10-03,51.2100,51.2700,50.3400,50.7200,5459100,33.6211
2016-10-04,50.6600,50.6600,49.5400,49.8400,10301300,33.0378
2016-10-05,49.8900,50.2400,49.4100,49.5200,5617300,32.8257
2016-10-06,49.3700,49.7200,49.1400,49.4300,6087200,32.7660
2016-10-07,49.8400,50.0800,49.1600,49.1600,5247100,32.5870
2016-10-10,49.2800,49.7800,49.1700,49.7500,4510200,32.9781
2016-10-11,49.5800,49.7200,49.1600,49.4100,5868600,32.7528
2016-10-12,49.6900,50.1500,49.4900,50.0300,5651400,33.1637
2016-10-13,50.1000,51.0700,50.0600,50.7600,5275400,33.6476
2016-10-14,50.6400,51.0300,50.4400,50.5600,3947800,33.5150
2016-10-17,50.6800,50.9000,50.5800,50.6900,3054200,33.6012
2016-10-18,50.9800,51.2600,50.3300,51.0900,4333300,33.8664
2016-10-19,51.0500,51.1300,50.5900,50.7300,4769800,33.6278
2016-10-20,50.8500,51.2100,50.5800,50.7200,3180500,33.6211
2016-10-21,50.5000,50.7800,50.3000,50.5300,3342700,33.4952
2016-10-24,50.7500,50.9200,50.3700,50.8500,3335100,33.7073
2016-10-25,50.7600,51.0700,50.6800,50.9700,3587000,33.7868
2016-10-26,50.9600,51.0600,50.5600,50.9700,3983900,33.7868
2016-10-27,50.8400,50.9300,50.3800,50.7600,4776700,33.6476
2016-10-28,50.8400,50.9900,50.4900,50.7000,5012700,33.6079
2016-10-31,50.8500,52.2300,50.6700,51.5700,6497900,34.1846
2016-11-01,51.6200,51.6800,50.2900,50.4800,6475800,33.4620
2016-11-02,50.3200,50.4000,49.5200,50.1900,6211100,33.2698
2016-11-03,50.2300,50.6300,50.0100,50.3900,4428800,33.4024
2016-11-04,50.5600,50.7700,50.0000,50.1100,4807200,33.2168
2016-11-07,50.2600,50.6300,49.4400,50.6200,6570700,33.5548
2016-11-08,50.7500,51.0400,50.5300,50.7600,5678000,33.6476
2016-11-09,49.7100,49.8800,48.9200,49.2200,13795200,32.6268
2016-11-10,49.0200,49.0200,47.0800,47.9100,11719200,31.7584
2016-11-11,47.9500,48.2300,47.5700,47.7800,6956300,31.6723
2016-11-14,47.5100,47.7200,46.8200,47.6300,7942000,31.5728
2016-11-15,48.1500,48.5300,47.8700,48.3400,5828500,32.0435
2016-11-16,48.5000,48.6100,47.9200,48.4300,7003800,32.1031
2016-11-17,47.7900,47.8400,47.4500,47.5000,5224300,31.8550
2016-11-18,47.5600,47.6500,46.8900,47.1300,5611600,31.6069
2016-11-21,47.2500,47.6200,47.0500,47.5400,5330100,31.8818
2016-11-22,47.4800,47.7300,47.1900,47.6000,4976800,31.9221
