Date,Open,High,Low,Close,Volume,Adj Close
2016-10-05,16.0000,16.5000,15.5000,15.5000,569700,11.3376
2016-10-06,15.5000,15.9000,15.5000,15.7500,264900,11.5205
2016-10-07,15.9000,15.9000,15.7000,15.9000,110900,11.6302
2016-10-10,15.9500,25.2400,15.9000,16.0000,6300,11.7034
2016-10-11,16.1000,16.5000,16.0000,16.3500,158400,11.9594
2016-10-12,16.3500,17.0000,16.0000,16.3500,160500,11.9594
2016-10-13,16.5000,16.5000,16.0000,16.1000,265800,11.7765
2016-10-14,16.0500,16.1000,16.0500,16.1000,45500,11.7765
2016-10-17,16.1500,16.1500,16.1000,16.1000,20600,11.7765
2016-10-18,16.1400,16.1400,15.9600,16.0000,464300,11.7034
2016-10-19,15.7500,16.0000,15.7500,15.9900,140400,11.6960
2016-10-20,15.9000,16.0000,15.7500,15.9000,653900,11.6302
2016-10-21,15.6500,15.8000,15.5000,15.7000,27500,11.4839
2016-10-24,15.7500,15.7500,15.5000,15.6800,130300,11.4693
2016-10-25,15.5100,15.5800,15.2500,15.5800,6200,11.3961
2016-10-26,15.5000,15.5000,15.3500,15.4500,52300,11.3011
2016-10-27,15.3500,15.3500,15.1600,15.2000,271100,11.1182
2016-10-28,15.2000,15.4500,15.0000,15.2000,2185200,11.1182
2016-10-31,15.2500,15.2500,15.0000,15.2000,25900,11.1182
2016-11-01,15.0000,15.0000,14.9000,15.0000,11800,10.9719
2016-11-02,14.8000,14.8000,13.5000,13.6000,9900,9.9479
2016-11-03,13.7500,13.8000,13.6000,13.6000,122300,9.9479
2016-11-04,13.6000,14.0000,13.6000,14.0000,603600,10.2404
2016-11-07,14.1000,14.2500,14.1000,14.1000,2300,10.3136
2016-11-08,14.0000,14.2500,13.9000,14.2000,335100,10.3867
2016-11-09,13.9000,14.1500,13.9000,14.0500,106300,10.2770
2016-11-10,14.1000,14.2300,14.1000,14.2300,2629000,10.4087
2016-11-11,14.4000,14.9000,14.4000,14.7100,13400,10.7598
2016-11-14,14.7000,14.9500,14.4000,14.4000,121500,10.5330
2016-11-15,14.4000,14.4500,14.3200,14.3200,798600,10.4745
2016-11-16,14.3500,14.3500,14.1000,14.1000,65600,10.3136
2016-11-17,14.1000,14.1000,14.0000,14.0500,60400,10.2770
2016-11-18,14.1000,14.1500,13.9000,14.1000,728700,10.3136
2016-11-21,14.0000,14.0400,14.0000,14.0000,28000,10.2404
2016-11-22,14.0500,14.0500,14.0500,14.0500,100000,10.2770
2016-11-23,14.0000,14.0000,14.0000,14.0000,50000,10.2404
2016-11-25,14.0000,14.0000,14.0000,14.0000,0,10.2404
2016-11-28,14.0500,14.1500,14.0500,14.1500,500,10.3502
2016-11-29,14.1500,14.1500,13.7500,13.7500,124600,10.0576
2016-11-30,13.8500,13.9500,13.8000,13.9500,291500,10.2039
2016-12-01,14.0100,14.0100,13.9600,13.9600,127300,10.2112
2016-12-02,13.9000,13.9000,13.6500,13.8500,18400,10.1307
2016-12-05,14.1500,14.5000,14.0000,14.4500,530600,10.5696
2016-12-06,15.3000,15.6500,15.0000,15.6000,925600,11.4108
2016-12-07,15.5800,15.6000,15.4500,15.5000,523700,11.3376
2016-12-08,15.5500,16.0000,15.5000,15.9000,625800,11.6302
2016-12-09,16.0000,16.5500,15.9000,16.4000,588400,11.9959
2016-12-12,16.5000,16.5000,16.2500,16.2500,982700,11.8862
2016-12-13,16.3000,16.3000,16.1500,16.2300,2901100,11.8716
2016-12-14,16.1950,16.3000,16.0000,16.2800,2399400,11.9082
2016-12-15,14.0000,14.2800,14.0000,14.1900,1151700,12.1044
2016-12-16,14.1900,14.2000,14.0600,14.0600,70800,11.9935
2016-12-19,14.1000,14.2300,13.9600,14.2300,1242500,12.1385
2016-12-20,14.2200,14.4000,14.2000,14.3500,1128700,12.2408
2016-12-21,14.3800,14.4400,14.3000,14.3500,607400,12.2408
2016-12-22,14.3500,14.4500,14.2400,14.2900,525600,12.1897
2016-12-23,14.2500,14.4000,14.2200,14.3850,35100,12.2707
2016-12-27,14.4500,15.0300,14.4500,15.0000,149200,12.7953
2016-12-28,15.0100,15.2500,14.9500,15.0000,121400,12.7953
2016-12-29,15.0000,15.6000,15.0000,15.5000,414800,13.2218
2016-12-30,15.5000,15.8000,15.4600,15.5000,72200,13.2218
2017-01-03,15.5000,15.5000,15.1500,15.3600,3188000,13.1024
2017-01-04,15.3600,16.1000,15.3600,16.1000,869100,13.7336
2017-01-05,16.1400,16.4000,16.0000,16.1900,743200,13.8104
2017-01-06,16.1900,16.2800,16.1200,16.2000,1096100,13.8189
2017-01-09,16.1950,16.3000,15.9000,15.9000,655300,13.5630
2017-01-10,15.9100,15.9500,15.8400,15.8500,169400,13.5204
2017-01-11,15.8500,16.2500,15.5800,15.6700,660000,13.3668
2017-01-12,15.7400,16.0000,15.6900,16.0000,278700,13.6483
2017-01-13,16.0400,16.6500,16.0400,16.4500,191300,14.0322
2017-01-17,16.5800,16.8900,16.4000,16.8500,903100,14.3734
2017-01-18,16.8500,17.1000,16.7700,17.0500,1593400,14.5440
2017-01-19,17.0000,17.0000,16.7300,16.8800,925000,14.3990
2017-01-20,16.8900,17.0200,16.8900,16.9400,1252300,14.4502
2017-01-23,16.9500,17.0500,16.7700,16.9500,1843200,14.4587
2017-01-24,16.9530,16.9800,16.7000,16.8000,659400,14.3307
2017-01-25,16.7700,16.8900,16.5000,16.7500,510500,14.2881
2017-01-26,16.8000,16.9500,16.7950,16.8500,618200,14.3734
2017-01-27,16.9000,16.9000,16.6700,16.7300,479500,14.2710
2017-01-30,16.8400,16.8400,16.3000,16.3000,87900,13.9042
2017-01-31,16.4000,16.5000,16.0500,16.2100,266400,13.8275
2017-02-01,16.4000,16.4100,16.2900,16.3500,751100,13.9469
2017-02-02,16.3900,16.3900,16.2300,16.2900,49900,13.8957
2017-02-03,16.3000,16.7000,16.2000,16.7000,526500,14.2454
2017-02-06,17.1500,17.8100,17.0700,17.1500,521100,14.6293
2017-02-07,17.3000,17.3000,17.0900,17.1200,787700,14.6037
2017-02-08,17.1000,17.4000,17.0700,17.2500,727800,14.7146
2017-02-09,17.2500,17.3000,17.1700,17.2500,120100,14.7146
2017-02-10,17.3000,17.9500,17.0000,17.9500,1072200,15.3117
2017-02-13,17.8500,17.9000,17.5000,17.7500,506200,15.1411
2017-02-14,17.7500,17.7700,17.6700,17.7000,543500,15.0985
2017-02-15,17.7200,17.7500,17.6500,17.6500,283500,15.0558
2017-02-16,17.7000,17.7000,17.4000,17.4000,267100,14.8426
2017-02-17,17.4000,17.4000,17.1500,17.3500,180000,14.7999
2017-02-21,17.3500,17.3500,17.1000,17.1300,1330900,14.6122
2017-02-22,17.1500,17.2500,16.6000,16.7850,626800,14.3180
2017-02-23,16.7300,16.7400,16.1000,16.3000,906900,13.9042
2017-02-24,16.2900,16.6200,16.1800,16.6200,555100,14.1772
2017-02-27,16.5900,16.6000,16.0500,16.1700,1063000,13.7933
2017-02-28,16.2400,16.2400,16.1200,16.1600,82700,13.7848
2017-03-01,16.1600,16.6000,16.1600,16.3000,151000,13.9042
2017-03-02,16.3500,16.5600,16.2000,16.2000,201600,13.8189
2017-03-03,16.1800,16.3000,16.1800,16.2600,550900,13.8701
2017-03-06,16.3000,16.3000,16.0000,16.1700,1063000,13.7933
